Season,Competition,Matchday,Venue,Club,Opponent,Playing_Position,Minute,Minute,Type,Goal_assist
9-Aug,UEFA Champions League,Final,H,FC Barcelona,Manchester United,CF,70,70,Header,Xavi
10-Sep,Supercopa,final,H,FC Barcelona,Athletic Bilbao,RW,50,50,Right-footed shot,Zlatan Ibrahimovic
10-Sep,Supercopa,final,H,FC Barcelona,Athletic Bilbao,RW,68,68,Penalty,
10-Sep,LaLiga,2,A,FC Barcelona,Getafe CF,RW,78,78,Header,Zlatan Ibrahimovic
10-Sep,LaLiga,3,H,FC Barcelona,Atletico de Madrid,RW,15,15,Left-footed shot,Xavi
10-Sep,LaLiga,3,H,FC Barcelona,Atletico de Madrid,RW,90+3,90+3,Right-footed shot,Dani Alves
10-Sep,LaLiga,4,A,FC Barcelona,Racing Santander,RW,23,23,Left-footed shot,Xavi
10-Sep,LaLiga,4,A,FC Barcelona,Racing Santander,RW,63,63,Left-footed shot,Xavi
10-Sep,UEFA Champions League,Group Stage,H,FC Barcelona,Dynamo Kyiv,RW,25,25,Left-footed shot,Andres Iniesta
10-Sep,LaLiga,8,H,FC Barcelona,Real Zaragoza,RW,80,80,Left-footed shot,Andres Iniesta
10-Sep,LaLiga,10,H,FC Barcelona,RCD Mallorca,RW,86,86,Penalty,
10-Sep,Copa del Rey,5th round,H,FC Barcelona,Cultural Leonesa,RW,64,64,Left-footed shot,Pedro
10-Sep,LaLiga,13,A,FC Barcelona,Deportivo de La Coruaa,RW,26,26,Left-footed shot,Dani Alves
10-Sep,LaLiga,13,A,FC Barcelona,Deportivo de La Coruaa,RW,80,80,Header,Pedro
10-Sep,UEFA Champions League,Group Stage,A,FC Barcelona,Dynamo Kyiv,RW,86,86,Direct free kick,
10-Sep,FIFA Club World Cup,Semi-Finals,A,FC Barcelona,CF Atlante,RW,55,55,Left-footed shot,Zlatan Ibrahimovic
10-Sep,FIFA Club World Cup,Final,A,FC Barcelona,Club Estudiantes de La Plata,RW,110,110,Chest,Dani Alves
10-Sep,LaLiga,17,A,FC Barcelona,CD Tenerife,RW,36,36,Left-footed shot,Bojan Krkic
10-Sep,LaLiga,17,A,FC Barcelona,CD Tenerife,RW,45,45,Right-footed shot,Bojan Krkic
10-Sep,LaLiga,17,A,FC Barcelona,CD Tenerife,RW,75,75,Left-footed shot,Bojan Krkic
10-Sep,LaLiga,18,H,FC Barcelona,Sevilla FC,RW,85,85,Left-footed shot,Dani Alves
10-Sep,LaLiga,18,H,FC Barcelona,Sevilla FC,RW,90+1,90+1,Left-footed shot,Ã‰ric Abidal
10-Sep,LaLiga,19,A,FC Barcelona,Real Valladolid CF,RW,54,54,Left-footed shot,Zlatan Ibrahimovic
10-Sep,LaLiga,21,H,FC Barcelona,Getafe CF,RW,7,7,Left-footed shot,Yaya Toure
10-Sep,LaLiga,24,H,FC Barcelona,Malaga CF,RW,84,84,Right-footed shot,Dani Alves
10-Sep,LaLiga,25,A,FC Barcelona,UD Almera,RW,42,42,Direct free kick,
10-Sep,LaLiga,25,A,FC Barcelona,UD Almera,RW,66,66,Left-footed shot,
10-Sep,LaLiga,26,H,FC Barcelona,Valencia CF,CF,56,56,Left-footed shot,Xavi
10-Sep,LaLiga,26,H,FC Barcelona,Valencia CF,CF,80,80,Left-footed shot,Thierry Henry
10-Sep,LaLiga,26,H,FC Barcelona,Valencia CF,CF,82,82,Right-footed shot,Thierry Henry
10-Sep,UEFA Champions League,last 16,H,FC Barcelona,VfB Stuttgart,CF,13,13,Left-footed shot,Yaya Toure
10-Sep,UEFA Champions League,last 16,H,FC Barcelona,VfB Stuttgart,CF,56,56,Left-footed shot,Dani Alves
10-Sep,LaLiga,27,A,FC Barcelona,Real Zaragoza,RW,4,4,Header,Pedro
10-Sep,LaLiga,27,A,FC Barcelona,Real Zaragoza,RW,65,65,Left-footed shot,
10-Sep,LaLiga,27,A,FC Barcelona,Real Zaragoza,RW,78,78,Left-footed shot,Andres Iniesta
10-Sep,LaLiga,30,H,FC Barcelona,Athletic Bilbao,CF,67,67,Left-footed shot,Pedro
10-Sep,UEFA Champions League,Quarter-Finals,H,FC Barcelona,Arsenal FC,CF,21,21,Left-footed shot,
10-Sep,UEFA Champions League,Quarter-Finals,H,FC Barcelona,Arsenal FC,CF,37,37,Right-footed shot,Pedro
10-Sep,UEFA Champions League,Quarter-Finals,H,FC Barcelona,Arsenal FC,CF,42,42,Left-footed shot,Seydou Keita
10-Sep,UEFA Champions League,Quarter-Finals,H,FC Barcelona,Arsenal FC,CF,88,88,Left-footed shot,Xavi
10-Sep,LaLiga,31,A,FC Barcelona,Real Madrid,CF,32,32,Right-footed shot,Xavi
10-Sep,LaLiga,35,A,FC Barcelona,Villarreal CF,RW,18,18,Left-footed shot,Xavi
10-Sep,LaLiga,35,A,FC Barcelona,Villarreal CF,RW,87,87,Left-footed shot,Dani Alves
10-Sep,LaLiga,36,H,FC Barcelona,CD Tenerife,RW,16,16,Right-footed shot,Zlatan Ibrahimovic
10-Sep,LaLiga,36,H,FC Barcelona,CD Tenerife,RW,90+3,90+3,Right-footed shot,Dani Alves
10-Sep,LaLiga,37,A,FC Barcelona,Sevilla FC,RW,5,5,Left-footed shot,Maxwell
10-Sep,LaLiga,38,H,FC Barcelona,Real Valladolid CF,RW,61,61,Right-footed shot,Yaya Toure
10-Sep,LaLiga,38,H,FC Barcelona,Real Valladolid CF,RW,74,74,Left-footed shot,Yaya Toure
11-Oct,Supercopa,final,H,FC Barcelona,Sevilla FC,RW,25,25,Left-footed shot,Xavi
11-Oct,Supercopa,final,H,FC Barcelona,Sevilla FC,RW,43,43,Right-footed shot,Dani Alves
11-Oct,Supercopa,final,H,FC Barcelona,Sevilla FC,RW,90+1,90+1,Left-footed shot,Andres Iniesta
11-Oct,LaLiga,1,A,FC Barcelona,Racing Santander,RW,3,3,Left-footed shot,Andres Iniesta
11-Oct,UEFA Champions League,Group Stage,H,FC Barcelona,Panathinaikos Athens,CF,22,22,Left-footed shot,Xavi
11-Oct,UEFA Champions League,Group Stage,H,FC Barcelona,Panathinaikos Athens,CF,45,45,Left-footed shot,Pedro
11-Oct,LaLiga,3,A,FC Barcelona,Atletico de Madrid,CF,12,12,Left-footed shot,Pedro
11-Oct,LaLiga,6,H,FC Barcelona,RCD Mallorca,CF,20,20,Left-footed shot,Pedro
11-Oct,UEFA Champions League,Group Stage,H,FC Barcelona,FC Copenhagen,CF,18,18,Left-footed shot,Andres Iniesta
11-Oct,UEFA Champions League,Group Stage,H,FC Barcelona,FC Copenhagen,CF,90+1,90+1,Left-footed shot,Ã‰ric Abidal
11-Oct,LaLiga,8,A,FC Barcelona,Real Zaragoza,CF,41,41,Left-footed shot,David Villa
11-Oct,LaLiga,8,A,FC Barcelona,Real Zaragoza,CF,65,65,Left-footed shot,
11-Oct,LaLiga,9,H,FC Barcelona,Sevilla FC,RW,4,4,Left-footed shot,
11-Oct,LaLiga,9,H,FC Barcelona,Sevilla FC,RW,63,63,Left-footed shot,
11-Oct,UEFA Champions League,Group Stage,A,FC Barcelona,FC Copenhagen,CF,31,31,Right-footed shot,
11-Oct,LaLiga,10,A,FC Barcelona,Getafe CF,CF,23,23,Left-footed shot,David Villa
11-Oct,Copa del Rey,4th round,H,FC Barcelona,Club Atletico de Ceuta,RW,67,67,Left-footed shot,Thiago
11-Oct,LaLiga,11,H,FC Barcelona,Villarreal CF,CF,58,58,Right-footed shot,Pedro
11-Oct,LaLiga,11,H,FC Barcelona,Villarreal CF,CF,83,83,Left-footed shot,Pedro
11-Oct,LaLiga,12,A,FC Barcelona,UD Almera,CF,16,16,Left-footed shot,David Villa
11-Oct,LaLiga,12,A,FC Barcelona,UD Almera,CF,36,36,Tap-in,
11-Oct,LaLiga,12,A,FC Barcelona,UD Almera,CF,67,67,Tap-in,David Villa
11-Oct,UEFA Champions League,Group Stage,A,FC Barcelona,Panathinaikos Athens,CF,63,63,Left-footed shot,Adriano
11-Oct,LaLiga,14,A,FC Barcelona,CA Osasuna,CF,64,64,Left-footed shot,David Villa
11-Oct,LaLiga,14,A,FC Barcelona,CA Osasuna,CF,82,82,Penalty,
11-Oct,LaLiga,15,H,FC Barcelona,Real Sociedad,CF,46,46,Left-footed shot,Dani Alves
11-Oct,LaLiga,15,H,FC Barcelona,Real Sociedad,CF,86,86,Left-footed shot,Bojan Krkic
11-Oct,LaLiga,18,A,FC Barcelona,Deportivo de La Coruaa,CF,51,51,Direct free kick,
11-Oct,Copa del Rey,Quarter-Finals,H,FC Barcelona,Real Betis Balompie,CF,44,44,Left-footed shot,Andres Iniesta
11-Oct,Copa del Rey,Quarter-Finals,H,FC Barcelona,Real Betis Balompie,CF,63,63,Left-footed shot,
11-Oct,Copa del Rey,Quarter-Finals,H,FC Barcelona,Real Betis Balompie,CF,73,73,Left-footed shot,Xavi
11-Oct,Copa del Rey,Quarter-Finals,A,FC Barcelona,Real Betis Balompie,RW,37,37,Left-footed shot,Xavi
11-Oct,LaLiga,20,H,FC Barcelona,Racing Santander,CF,33,33,Penalty,
11-Oct,Copa del Rey,Semi-Finals,H,FC Barcelona,UD Almera,CF,9,9,Left-footed shot,Pedro
